timestep,episode,reward,value_loss
299,1,-70.53917806148526,32.036846149270815
459,2,-49.34305098056792,208.9318345218897
554,3,-56.45478370189665,244.7329128666928
796,4,-74.05602905750283,160.21879329070572
1049,5,-70.06684143543254,84.0877730017123
1291,6,-76.06913063526164,52.95735830610449
1468,7,-38.33812544345853,49.50128965054528
1581,8,-59.93099744319913,60.14734698185879
1823,9,-74.04257330894478,36.331357086616116
2124,10,-79.93458390235915,27.94622603524167
2363,11,7.071250033378362,32.73516594316171
2485,12,-55.84149501323697,25.019335904570877
2708,13,-43.02454979419703,23.80040545100054
2911,14,-50.131827187538136,24.455614191557974
3027,15,-55.90851509571074,25.577751086703664
3139,16,-55.93491241931913,19.849740536085196
3381,17,-74.04107961654671,18.571389784990263
3623,18,-66.33775029182432,19.191366285085678
3865,19,-74.03806421756752,19.48578105657554
4023,20,-68.57292450666426,17.372403685050674
4183,21,-65.53119268417356,19.39059552848339
4260,22,-54.90393230915068,14.942880495802148
4576,23,1.3204363584517438,17.599376397042334
4761,24,-33.11071541309364,19.10955313025294
5003,25,-74.05437026023873,18.5347587574612
5169,26,-45.84759438037872,20.324990877545023
5411,27,-74.03806600570687,18.014307567157037
5738,28,-81.72304818630234,18.997773559268463
6031,29,-76.77150113582618,17.960320522760775
6126,30,-57.3309833049774,15.116081138033616
6795,31,-82.16433994770017,17.057801704057486
7203,32,-90.12201793193849,17.104926815658224
7820,33,24.851848149299798,16.36820999227428
7963,34,-17.814541888237052,16.616473245870818
8144,35,-30.72657096385954,15.534550494581296
8444,36,70.97292015552567,19.189222569863002
9103,37,216.7767356157322,18.558587040090778
9266,38,10.015084195136922,23.704905587471337
9479,39,-4.0392094373703955,18.063560592176767
9715,40,19.235503315925527,22.46956780805426
9989,41,67.13088829517417,20.87719775638441
10426,42,-82.93623611926998,24.944899900554248
10678,43,58.71202042102854,22.9984813990101
11250,44,-23.921553111074672,24.893725436467392
11353,45,-15.940882754325912,29.195767429268475
11571,46,-46.57092196941371,26.670919319905273
11716,47,1.3654887437819454,22.639567672795263
11923,48,25.97260239124303,24.656865287518155
12216,49,37.965330052376075,22.738103475180097
12327,50,-8.738334536552486,28.79603251036223
12520,51,-8.331657481193602,24.371525001031745
13293,52,215.43101875782259,24.528205701943975
13594,53,-82.23847180604949,22.52459065779499
14417,54,237.4616965532312,22.11234036772393
14879,55,27.671098256112472,20.29928907223078
15077,56,-57.29782612323759,26.3117416193991
15225,57,-27.526464772224433,19.432861888730848
15346,58,-56.41983997821806,20.458198080378132
15462,59,-37.91436040401458,22.771283768374346
15567,60,-55.93063690662382,22.389074694542657
15900,61,46.168651509285354,21.546266679291254
16058,62,-8.417897295951924,20.131459305558025
16424,63,111.41702568531113,20.595830995528424
16987,64,59.3666190385823,21.458675608753524
17433,65,120.3117285966884,19.243101245351973
17511,66,-35.21619279384612,25.568190183394993
17703,67,-53.01474664211284,20.39336954181393
17809,68,-13.718867182731678,21.750580144378375
18150,69,61.56706726551083,22.591080061151835
18505,70,-56.52733066082026,20.615760539954817
18606,71,-19.11455810070042,17.362510631580164
19067,72,-95.24141228198961,18.951319854843902
19532,73,119.22805473804581,15.877951639954762
19642,74,-11.705603861808832,16.90563528321006
19739,75,-31.727990126609814,17.30600655201784
19856,76,-22.42534015178687,20.07630735482925
19985,77,-2.6957794904709687,19.460588020871775
20093,78,-23.868136477470436,20.492855926354725
20165,79,-36.739369845390314,21.423942867252563
20236,80,-37.063096880912774,15.59675772593055
20326,81,-19.710396075248738,17.767347160975138
20604,82,-63.83479077816017,17.283913570342303
20961,83,-81.03377101421358,16.70057710145368
21251,84,-76.89108266830468,18.026372050005815
22351,85,35.013848042491475,17.40360573378476
22584,86,42.61405937671684,16.81945561595229
23087,87,122.68292229175725,14.970666895803827
23439,88,-57.99792001247433,16.06494917178696
23522,89,-37.59342200756072,16.32074368143656
23961,90,109.73988945484282,16.340087513174176
25005,91,211.39082558154348,14.629287702484605
25459,92,29.583931279182536,15.310313087202903
26301,93,142.5309767961486,15.320880441654323
26506,94,30.695908284187496,14.170505292241167
27222,95,229.83840858936412,13.954861500409729
29222,96,814.8053199052521,16.39019504904747
30115,97,295.5507584094975,14.468736334049956
30516,98,140.03473579883698,14.669467603179285
32516,99,687.865088582017,14.730095702290535
32748,100,31.114231371879526,13.890699378375349
