timestep,episode,reward,value_loss
925,1,-111.33077015876839,0.10207444475639585
1226,2,-75.22972881793976,3.022173454149617
1395,3,-51.853502321243276,4.357603279796578
1511,4,-61.24665403366086,2.3648055412260622
1812,5,-79.76191699504864,6.028797751224516
1915,6,-55.05676050186156,6.708893206115198
2142,7,-63.648017740249585,5.146294604100714
2288,8,-54.29228317737578,9.134877006331944
2534,9,-50.233230710029595,6.326468909416741
3183,10,-36.467307019234,7.452720380475736
3498,11,12.107215380668464,6.103269655316595
3664,12,-46.95695841312404,5.845203633768013
4314,13,167.12663719654327,6.811229241146491
4383,14,-37.89503924846648,7.780741313445395
4482,15,-24.163357424736052,7.449120956689421
5389,16,204.59056618213998,7.8504916239846105
7149,17,473.67700908181985,5.864873563659123
7269,18,-28.635333800315898,7.132508733620246
7580,19,51.888222932816106,6.343948142081978
7697,20,-16.676128840446516,6.449208577856039
7810,21,-22.55411441326146,7.031320362623814
8247,22,118.18921043872945,8.536206584739194
8371,23,-4.122325587272719,4.495548810449339
8527,24,15.368313908576866,12.838579341291616
8728,25,15.703700184821955,8.771495016504876
8840,26,-30.642681574821488,15.248862112739257
9005,27,10.469719624519215,7.642704703410467
9322,28,-1.8271717786792223,8.491460452320448
9655,29,32.512493062020155,9.575139481160376
9782,30,-4.107737040519794,10.029338940626054
10068,31,68.83681976795253,11.347319265137186
10270,32,2.221537137031376,9.708409167457335
10648,33,5.043838429450666,8.084419153551892
10814,34,-21.766057848930487,10.67975477784513
11173,35,33.89928085804047,12.563148131526612
11361,36,-23.06852633953109,10.032082260130569
11800,37,126.88302452564355,11.808431796644706
11973,38,6.862808156013344,8.987643969024537
12156,39,-53.1701219797134,10.829887705585344
12350,40,-6.571236181259323,13.201776298358268
12557,41,25.953233265876804,10.599692249211712
12878,42,0.08459198474850638,9.829010443988247
13047,43,-0.11789672374737847,12.190170299548369
13149,44,-28.393756842613247,15.881956888180152
13287,45,-30.033195567131102,11.302992519693099
13415,46,-10.388681483268819,10.651750424178317
13561,47,-36.46625888347622,9.828375704892695
13906,48,20.89763519763983,12.915797755770061
13991,49,-28.550091052055368,8.799178813134922
14375,50,105.77055199146355,10.960312232452756
14489,51,-10.703097033500732,7.8861351324278015
14618,52,-10.706967997551033,15.826767566592194
14843,53,-11.461438441276762,11.30823534462187
14940,54,-24.707209086418185,12.293222485743847
15195,55,-25.931752705574254,13.363303985081467
15311,56,-35.354393362998934,7.950205042701343
15386,57,-38.89114787578582,14.946947343746821
15492,58,-18.58873355388646,12.987153745484802
15657,59,-33.66438701152814,13.139243259574428
15760,60,-38.363132071495045,12.941073717133513
16015,61,19.16056892871866,13.34029636979103
16245,62,14.446451878547492,10.763338229448898
16475,63,-19.3202517271044,12.052055985383365
16769,64,34.22480232715638,11.76496676603953
17254,65,2.8265884876249174,10.001849360810112
17511,66,-9.314315295219593,11.77186864139041
17589,67,-33.776926589012135,10.901434394793633
17764,68,-32.29361464977279,9.033448705502918
18020,69,15.650296330452164,9.520617170259356
18145,70,-29.735626482963596,7.894229917526245
18346,71,-25.48388659954086,10.980962168221449
18453,72,-17.655093646049544,10.397938360677701
18569,73,-25.621214747428926,13.082838036890688
18677,74,-25.412962508201602,12.420402416200549
18859,75,-7.90586707592027,11.293768593570688
19082,76,-54.32433755397804,10.416351024612718
19200,77,-24.244528841972414,12.385632742764587
19360,78,0.4990241289137529,8.600001080334186
20380,79,315.442768907542,8.537889246847115
20453,80,-36.498033118247974,8.010877804396904
20524,81,-36.894174933433526,6.8588401393991125
20842,82,-32.646199297905326,6.116881865188011
21129,83,-43.476429438591246,9.088405087226775
21780,84,67.16900169849595,8.492734516729042
22013,85,-29.37501437664055,8.021346340619443
22147,86,-43.40169923305508,7.39188485892851
23017,87,197.9375540971743,7.6428196599086125
23436,88,33.592954945565154,8.07429645880879
23630,89,20.6666339159012,5.919875810441282
23707,90,-37.567731833457934,5.52191127430309
25542,91,629.9051520585786,5.702676091239628
26164,92,192.73581840992148,5.150769158766584
28164,93,714.6842414140473,5.4162444508522745
28304,94,5.442711567878632,6.144313403538296
29247,95,309.46701424121443,4.855933976641136
29431,96,-42.1670295476913,4.890842304929443
30494,97,336.97316353320656,5.39296889579868
30658,98,-2.9141766309739197,6.0312423818722
30960,99,52.72357513904636,5.7032890868502735
31349,100,73.71682579517427,7.471905538079671
31588,101,26.73326904773711,9.69391590506462
32973,102,302.69155952930356,8.209082015111559
33047,103,-35.4051868200302,10.096084161384686
33156,104,-39.20414464473722,8.615145470024249
34208,105,307.74319221972695,9.968207995247932
34281,106,-36.12171561717986,12.223949917375226
34759,107,25.570609974861952,10.337541037772988
34931,108,-37.19761273860939,7.58219241645447
35025,109,-28.87058131694795,8.146125023035292
35105,110,-34.37053658962249,5.080036697536707
35706,111,150.80829918384762,10.67608437095823
36455,112,254.770944905281,10.690040756688417
37040,113,150.2434394121191,11.465759097307156
37154,114,-18.19306914806372,12.44035051580061
37246,115,-30.170136427879353,9.662538647651672
37350,116,-31.762640166282665,8.947942207065912
37457,117,-27.13416335582735,13.190600496029186
37527,118,-37.33786704540252,8.884462540490286
37641,119,-8.893261599540772,9.205720405829581
37778,120,-8.405857539177035,13.523783097301957
37872,121,-35.65118663311003,15.62893937876884
38121,122,18.84587128162373,13.064472515420263
38371,123,9.836378788947819,15.832578697681427
39347,124,325.36424934863703,15.83651114817037
39951,125,231.19042427539932,13.266889385632332
40031,126,-36.3517353773117,15.027879899740219
40103,127,-35.53707263469695,18.033817612462574
40866,128,200.99343483448325,13.854527198237173
41256,129,105.9738700151452,12.509128161424245
43124,130,656.324771809556,13.812485869136307
43323,131,-5.3963915586473234,17.097712068102467
43692,132,117.36803658008665,13.553541553698905
43831,133,-2.522199201583952,14.30695346105013
44479,134,190.4262313127541,11.395190931672667
44677,135,12.318130421638308,14.807655594565652
46677,136,663.4750586747942,12.463472805917263
47403,137,208.6683875322364,10.685688016910527
47611,138,-30.33471114635466,8.600982057360502
47681,139,-37.34580876827239,8.796867954730988
47947,140,42.4149218797687,10.41882935636922
48031,141,-35.93813912868498,12.018170981889678
48152,142,-40.9160484075546,11.77909092715949
48531,143,87.95828850269416,9.57659789455912
48760,144,24.02414352893831,10.806205448365107
49112,145,77.82408287525269,10.723713571036404
49549,146,50.83178474903232,10.735065791917885
49763,147,24.120382618904216,10.104089866174716
49969,148,17.416175723075753,10.21454801200663
50085,149,-29.16132533550264,6.188904938512835
50452,150,83.05509712696164,11.867020130319881
50582,151,-27.42521026134498,12.146494840658628
50698,152,-9.71916759014136,9.016459332971737
50796,153,-21.557435107231175,10.329549656230576
50916,154,-12.763849520683358,10.466876451174418
51673,155,164.849565052989,11.566712574017096
52241,156,139.363216328623,9.468464428060491
52665,157,105.2648909807219,11.292922408794457
53552,158,284.976148152346,11.989316871900032
54113,159,187.83362114429667,11.36390296788139
54777,160,217.5640052080169,10.125666358025677
56674,161,662.0535407304536,9.192511948492255
57192,162,61.34996788501904,8.710537479996221
