timestep,episode,reward,value_loss
560,1,80.1651808977141,0.40591602188195863
720,2,-12.93007876873029,6.945985223911703
841,3,-35.577246069908114,8.52231446721337
1188,4,106.94754936695196,10.439488600928776
1387,5,24.638183903694156,11.705780326421536
1560,6,19.463840413093507,10.810663824136547
1665,7,-21.042421841621437,10.490740176609584
1776,8,-21.076405405998273,11.683556547573021
1905,9,1.4879086732863556,23.13890711743702
2054,10,-10.374709773063756,15.879169125884971
2297,11,17.233127522468592,15.691190445374069
2509,12,29.5510096788407,14.186465647704196
2744,13,38.63618347644828,16.554907383183217
2863,14,-19.558595347404523,13.254604158281278
2979,15,-11.68148124217992,16.40051639285581
3092,16,-31.71097750663759,21.717063129739422
3244,17,-5.479845499992457,18.841838145530538
3665,18,21.305400013924867,14.924883951342304
3899,19,51.80034859180479,16.657097324856327
4095,20,5.5369769334791386,16.404068613082778
4339,21,20.481781435013033,15.566829805247119
4499,22,16.563324666023163,15.941749390028416
4698,23,16.2631400346755,17.32546656485179
5025,24,58.236804509163306,17.95208450440967
5383,25,1.2717532396313942,15.01160070533193
5474,26,-29.96224009990693,16.514122931511846
5662,27,20.829517292976263,16.57516348472935
5790,28,-14.598986697197027,14.571671787416562
5904,29,-24.973145174980196,10.949961854439033
6149,30,49.9144923448566,17.36829318246063
6258,31,-44.62884442806242,13.429985986663661
8258,32,776.2514716386545,13.86615064817667
8378,33,-10.976687693595949,13.219017665088177
10167,34,508.8980811357251,12.611661466341435
10314,35,-2.1134485960007723,11.207278913786622
10434,36,-4.412590289115975,12.009740689396859
10589,37,5.872862553596391,10.672448552423909
10800,38,10.654990315437118,14.167284509864464
11008,39,25.839166569709732,12.72037964572127
11238,40,31.018240666389715,13.449638357888098
11436,41,0.39310543537121845,12.444674883526986
11894,42,152.05802910328075,10.623701128636906
12510,43,111.30538856983432,11.257676853471763
12618,44,-5.8534909009934,7.982159267421122
12754,45,-36.26932656764988,10.019912680282312
13023,46,42.36587173938794,11.691327459085386
13118,47,-17.728449130058323,9.239926621788426
13278,48,-9.925103449821599,12.518826785311102
13387,49,-13.125360178947503,12.525283946903473
14380,50,286.0154380083069,10.262976391978134
14519,51,-14.476323771476835,10.404815937117707
14764,52,-37.32946517467521,10.852077226006255
15275,53,148.60344612598576,9.300959910898525
15468,54,-34.45612533092508,9.963658778469798
15571,55,-41.6953702688217,9.140852286977676
16668,56,430.2000937700176,8.29039375974356
17301,57,176.14286415577178,8.964525884738277
17480,58,-30.26489465236667,8.625399294512231
17565,59,-27.14333560466768,8.305921098063974
17680,60,-10.565460467338617,9.890282802478128
17874,61,-19.166306185722526,11.0891187111127
18296,62,88.24126579761625,11.204498903870018
18387,63,-35.382462382316575,7.50831815305647
19220,64,345.33609383105875,10.007597337106839
19295,65,-35.92835595607757,8.45503013451894
19387,66,-22.88795325756076,11.445898510839628
19721,67,84.90015251636586,9.92747847191588
19912,68,-16.41532504558571,10.501775211688736
20121,69,5.038416218757469,8.578668792567184
21659,70,527.4333686113189,9.945578961653734
21855,71,-39.76860654354095,9.500305918406466
22156,72,47.99835503101376,10.147643597617101
22497,73,-15.376563906669993,12.069255059066057
23002,74,114.9118926286711,9.852804263983623
23273,75,-39.540618777275206,8.947347563131268
23404,76,3.0087710618971926,9.2267560003368
23647,77,52.385696339607435,7.8479803643599455
23720,78,-36.49440438747405,7.994423779722762
23792,79,-35.63801667690276,7.882709751526515
24870,80,357.5880698442411,9.435985297794023
25102,81,-29.036447978019922,8.634764576523468
25267,82,-14.905484461784447,9.091066784930952
25978,83,282.2190161943424,9.584080647315657
26136,84,-46.34728677272793,11.80200576254084
26472,85,68.04437363147817,10.599022963926906
27529,86,439.4084143876954,10.126003527934527
27791,87,41.09615161418944,9.422704209580676
27867,88,-36.95737063884734,8.221998084532586
29867,89,914.7642737626735,9.26000220772624
30097,90,-38.920032763481316,10.495845397140668
30259,91,-49.53417108058926,7.679632287702443
30738,92,163.97257835865187,7.530601074277484
31604,93,234.7653952836988,8.590874441914416
32778,94,325.2712805986334,9.019403864059985
33875,95,362.09924080371223,8.405805338048458
34157,96,22.652509236335902,6.285692074408768
34284,97,-2.6804823637009463,5.949909661698529
34823,98,93.53885109424661,7.523325710548762
36346,99,610.9706458329989,6.944436326906701
36857,100,54.49568474292916,6.7576878929324815
