timestep,episode,mean_reward,policy_loss,value_loss,entropy
1544,1,151.4846558094009,-0.021586578464484772,4.064139478094876,1.0938949961215259
1845,2,-81.62955641746534,-0.02382713693077676,2.977480783779174,1.0927739366889
2673,3,245.5522791624074,-0.02766880198396393,7.308830469101667,1.0746933035552502
2974,4,-80.22771358490009,-0.02351250173524022,5.923309169337154,1.0781446978449822
3590,5,148.50354945659836,-0.030238463915884493,9.150118599459528,1.0733679618686438
3956,6,83.8246909379967,-0.033925307070603594,10.797792130708695,1.0637077867984772
4340,7,70.58817131519417,-0.033547926651954184,9.716716194152832,1.0658980671316385
4724,8,36.86650497913382,-0.033230264953454026,7.419758699834347,1.0692015904933214
4881,9,-35.83042023181914,-0.031810920301359145,7.442667971923948,1.0680318869650365
5234,10,38.71662776470211,-0.03172220253618434,8.77916493602097,1.0640737723559142
5710,11,107.72794902324802,-0.03386231427284656,9.204984104633331,1.0673619542270898
6946,12,394.1487177610302,-0.03152269953279756,7.590606991201639,1.0611321102827787
7438,13,109.10761024952075,-0.028492048403131777,8.116610326617955,1.0598385535180568
9438,13,,-0.002080078172730282,4.93549752831459,1.0288025207817555
10270,14,1165.5419898271607,-0.0030343598700710572,11.550134558975696,1.0317438071593643
10512,15,-75.51219943761836,-0.007578633839148097,7.819975561648607,1.038810682669282
10681,16,-11.536025929451121,-0.012299359648750396,8.510106554627418,1.0357309237122536
11731,17,355.23703465461057,-0.010284778717323206,8.797910457849502,1.03061054777354
11843,18,-56.380892848968486,-0.01094674238411244,7.6863084733486176,1.023938993178308
12023,19,-64.02324833869932,-0.019339655415387826,7.3118116274476055,1.0143944520503283
12134,20,-59.42508316040037,-0.018872296169865875,8.053926894813776,1.0199139073491097
14134,20,,-0.006931523584353272,6.558442982658744,1.0182762676849961
14733,21,992.0538010120017,-0.011982868326595054,8.043657208234071,1.008020020648837
14869,22,-28.453548312187255,-0.009474034376034978,7.06150675304234,1.002935551479459
15701,23,228.16965641975565,-0.0053977721225237476,7.6953582637012,0.9966280780732631
16984,24,499.5679270505782,-0.005193603911902755,10.15548641681671,0.9817142140120267
18984,24,,-0.0025208292179740967,7.195467299222946,0.9850532583892345
20984,24,,-0.007488856524287257,3.985484712570906,0.9387457791715861
21985,25,2063.808408284335,-0.010184800052957143,3.845058232918382,0.9182607838883996
22892,26,366.3427710771496,-0.012639260216383263,6.193458073586226,0.8843026388436556
23208,27,51.725377202034764,-0.008671647333540023,5.198488074168563,0.8833990797400475
25208,27,,-0.00018457123078405858,5.367420195043087,0.9213473750278354
26241,28,1277.6814829588131,-0.0035869748287950644,10.614941482245921,0.9181400472298265
27794,29,636.5165964841647,-0.0036842679168330506,9.459255284070968,0.9090071462094784
28251,30,136.70241954326744,-0.004508755373535678,10.814395784586669,0.9107247900217772
30251,30,,-0.0016988291157758796,4.605689773336053,0.901350457035005
31418,31,1334.7206589222446,-0.002393381789443083,10.890423262864351,0.8800946177914739
32126,32,238.87025706768043,-0.0072030468145385385,10.007579117268325,0.8871455559507012
34126,32,,-0.0041939825903682506,5.218393839523197,0.8951167410239578
34497,33,939.6809189319227,-0.006260672879579943,12.019105564802885,0.8886251421645284
35530,34,418.2271384477544,-0.004833010825677775,9.96055478900671,0.9022108744829893
35820,35,72.31321022510589,-0.011662826966494321,9.506381985545158,0.911235760897398
36169,36,79.99334056377495,-0.01053430827887496,9.319536136090756,0.9121158745139837
36265,37,-44.41185367107391,-0.01243107083355426,8.852053893357516,0.899235107563436
