timestep,reward,value_loss
108,-200.22526926994323,15.504587856845724
350,-224.04163691997536,209.59905846069051
455,-173.28126230239866,205.88928491331282
529,-203.78638069629667,296.85673694352846
771,-224.35863409042366,256.03356754582774
873,-206.04471395015713,200.96417732682883
2043,707.1187662839721,179.22995295076288
2226,-23.8528460979457,184.06592032427343
2462,-41.97124755382467,195.15948789806689
2626,-0.23847167491874188,155.33317642677122
4477,1351.7997199297363,135.0357617036128
4719,-224.05264530181893,137.14158383282748
4817,-180.6937232732773,159.67311323905477
5243,73.97171318530934,134.2771073865219
5398,-97.24612929820984,129.13899610580935
5489,-159.74394643306732,116.45531361967653
5562,-186.34560735225676,125.71380635483624
6201,440.288118672363,125.60836823184353
6821,443.21742711066486,121.14965467606821
10346,3074.554825520731,111.49054538983825
11151,512.7216651201146,103.66874178833102
12249,488.4163245439379,93.71041732537942
15277,2720.5800513507456,84.79065384968742
17233,1786.1279822588674,69.30600959074765
22234,4681.510881090173,4128.818582285597
22476,-227.00290683507933,130760.10722313242
22777,-229.9772000312807,122064.60581143908
22903,-215.44913709163663,84451.65392291357
23204,-229.94578123092668,110418.11424240163
23294,-172.86597027778623,74337.92299397786
23360,-205.20790302753448,87053.13425514915
23470,-171.92822542190552,56470.454717462715
24296,-60.609406232830565,41396.85587235051
24436,-177.2411037921906,17568.69960065569
24678,-224.04549334049233,48322.69826740864
24963,-228.2446768522264,45395.179323430646
25084,-211.10429656505582,47791.45577422844
25189,-172.5141564846039,21748.225934709822
25280,-205.29727721214292,86493.42101916637
25386,-173.42553424835205,33514.94055175781
25628,-225.8206996679307,40878.28663622643
25747,-171.50651149749757,32595.63184824711
26178,-225.51336872577699,22318.90269438352
26538,-185.36374773979153,21268.152125379773
26976,-16.12793858051282,23165.439397385133
27277,-182.5423774123193,20401.885062892572
27607,5.612757420540959,17676.117764929568
27782,-215.43156495094294,20793.005445033483
28383,262.3717415332745,14813.633268283329
28492,-181.50736289024354,46607.13943117474
28966,-196.3633708238592,55669.55230352345
29371,-52.06512370109391,77789.11531635803
29613,-225.92345926761638,148975.77704210518
29697,-206.8095864534378,245046.84137253533
29800,-172.72686500549315,44362.737449275635
29897,-173.91390643119811,42034.812887604705
30139,-195.28849277496332,59169.878050748965
30440,-229.93588685989397,248798.97180946326
30741,-231.1829560995103,216012.40528965948
30983,-226.67389575243007,187082.79395540096
31065,-206.62596402168273,87467.27992806783
31307,-224.0453395605088,169682.1764390173
31394,-204.14652094841003,270064.539219648
31636,-136.17816272974017,270808.60157258844
31713,-204.82457706928253,121544.9493899655
31791,-206.36436302661895,72739.61515925481
32050,-225.81635313034067,82665.78565207227
32330,-153.538643503189,48613.40890851702
32639,-230.25421218872086,40014.90270798569
32721,-204.8266833782196,43195.762829292114
32881,-218.77149757146833,41467.197702026366
32984,-209.60486311912535,47214.4173429915
34299,515.9359405994247,27669.918041156725
34694,38.924939012529194,18817.92815034118
35160,188.86732017993694,14257.301437443419
35581,163.5931502580625,13745.172279484765
36725,700.7040262937379,11267.796318320961
36979,-13.474273371695517,10461.548800250677
37168,-147.78078143596662,9172.175159272694
37307,-110.36819522380806,7171.43891478614
37473,-121.73684203624687,6944.03952210208
38822,1141.2210639238458,6102.3294538833015
40052,351.360722398739,3889.4712273822565
40341,-176.93254773616815,3027.5820905956016
40583,-224.07945129871376,2943.1604162168896
41142,-87.23317759037008,2685.3093354527127
41757,-48.24503376483631,2638.674629893729
42549,129.1198828458688,1852.2350290471857
45317,1783.6603190184924,1247.3588507492418
46267,660.1990515947192,919.735040981895
46424,-119.26056323051434,1086.9297577681814
46624,-23.048297071456346,1052.380896911621
