timestep,episode,reward,value_loss
957,1,210.60705723762698,41.535849146991325
1199,2,-76.10177550315868,56.51260845523235
1348,3,-57.4017379760742,577.4353079955849
1502,4,-54.88508491516112,2457.4317082739494
1744,5,-76.02530274391185,1943.8485140061575
1986,6,-74.04878292083748,1304.982585536547
2228,7,-75.8219239473344,511.98025047286484
2470,8,-76.01103637218486,481.56841532652044
2631,9,-63.62622714042659,305.0462583725497
2873,10,-75.12137565612802,373.84019701934056
3115,11,-74.05749711990364,197.1871925080118
3357,12,-75.22701773643503,202.47352340891342
3448,13,-56.21935868263243,122.30086775140448
3617,14,-58.78674082756038,144.97483100270378
3814,15,-42.852815008163404,133.26710080616365
3908,16,-56.5390043735504,114.595286364251
4006,17,-58.93603177070616,127.98986110395315
4088,18,-55.853375768661486,134.07240641989358
4330,19,-74.04484663009652,104.0599791274583
4530,20,-60.11497845649714,101.536552195549
4772,21,-74.0481666088105,84.05203675435594
5027,22,-31.64728083610536,89.89946230159086
5129,23,-53.79799256324766,82.48128765003354
5234,24,-55.05808749198911,69.56543904259091
5380,25,-40.73572468757627,64.70774579701359
5598,26,-56.605942678451505,79.30380741171881
5899,27,-80.0633722543718,105.4677243985211
6139,28,-76.84821590185175,97.54852587978046
6381,29,-74.06200799942025,69.19348163250064
6487,30,-57.9732846021652,53.26000427300075
6544,31,-53.57199130058288,49.501862024006094
6608,32,-55.29060070514678,80.09927811473608
6993,33,43.547537660599104,65.38644589510831
7235,34,-74.13043115139016,62.00194576752087
7477,35,-74.04727671146401,59.543246495822245
7614,36,-66.50088474750517,52.32582682414647
7856,37,-74.04592070579537,51.58140755881948
8248,38,-73.48257157802587,69.90593317029428
8311,39,-53.40166683197021,634.7489631516593
8530,40,-62.02904992103572,312.6607548809487
8610,41,-57.002013111114486,489.6509604692459
8833,42,-62.991767835617125,120.63585254002045
8982,43,-62.58134018182753,93.29593187050531
9100,44,-55.05712909698485,96.28510353928905
9401,45,-81.83230429887786,122.21741043768849
9510,46,-56.12801032066345,118.04523700749108
9631,47,-64.9513743519783,98.43907983638039
9769,48,-62.59484107494353,95.989087090976
9925,49,-66.60758304595947,114.00632402224419
10248,50,-70.09684653282176,103.29946883175026
10456,51,-67.51738376617429,96.90818622020575
10685,52,-72.91998116970062,94.83807205633305
10906,53,-54.61523365974427,99.45880790641405
11166,54,-71.04237165451056,111.39740550151238
11399,55,-65.87880558967595,95.70229022799643
11696,56,-72.05694279670725,113.5470413744249
12056,57,-85.41402664184588,123.36205911636353
12244,58,-67.40194137096407,157.9206854181087
12681,59,-27.123062467575135,123.50112880449274
12878,60,-51.98463282585141,125.70807660049593
13150,61,-33.02045187950134,124.6298588128651
13259,62,-59.425637292861914,128.3098948854919
13374,63,-59.87566127777098,120.72089752528979
13536,64,-68.94077912569044,127.35821241213952
14232,65,72.1661369800583,110.23778840865212
14501,66,-47.689934301376425,105.65570509389431
14641,67,-50.025303506851195,89.91115364687784
14747,68,-45.56684899330139,61.14133002623072
14989,69,-76.22933152914058,76.87384698607706
15100,70,-58.96138644218443,105.69729270591392
15304,71,-9.200340795517036,91.0438613096873
15546,72,-74.04669198989876,85.40332412030087
15872,73,25.91199994087235,93.91196292602211
16173,74,-80.08688092231758,102.50914799969061
16335,75,-45.906131124496426,82.34337417284648
16523,76,-65.77375764846796,89.45373761146627
17023,77,-98.92272522449497,77.78786664772034
17659,78,178.12805855274382,70.45444518964996
17820,79,-57.569705605506854,71.34131858659828
18198,80,2.544685411453095,69.67614876782453
18423,81,-43.86032929420466,78.59617948214213
18556,82,-42.42419428825377,50.25254930768694
18784,83,-36.980995130538886,63.326430772480215
18873,84,-57.41657202243803,74.45270180434323
19154,85,-10.658251523971622,54.88371370186585
19262,86,-59.8300570964813,57.80285278073064
19613,87,15.809451341629057,61.83060819674761
19831,88,-70.7963584184647,57.718812441607135
20063,89,-62.31284258365635,50.73502161996118
20144,90,-56.3419495820999,42.156236654446445
20362,91,5.053679513931179,57.86026847581251
20617,92,-78.19499560594556,44.89840402790144
20693,93,-55.61041116714476,46.25412668052473
20790,94,-51.5903790950775,48.36921240128193
20921,95,-61.3831053972244,55.51773422910967
21111,96,-64.76313247680659,38.50388646502244
21454,97,42.437173891067985,45.68106924410117
21544,98,-54.85651268959044,38.236104941368104
21845,99,-16.57480597496039,47.199090230108496
21946,100,-55.6585371494293,57.79168271310259
