timestep,episode,mean_reward,policy_loss,value_loss,entropy
1337,1,314.0206314563712,-0.06121085985942045,4.080421264562756,1.0924790252000094
1617,2,-78.03052165508285,-0.04833509626623709,2.6153386292047798,1.0897581078112126
1835,3,-5.152532887458953,-0.06234862407291075,4.347897702176124,1.0798591773957014
2131,4,52.92796063423184,-0.07032497698819498,5.437508467957377,1.0785713884979486
2373,5,-75.92532280683528,-0.054400991614966185,3.389747843751684,1.07941060885787
3157,6,199.36660869121806,-0.07446340294554829,6.174007937312126,1.07598612383008
3711,7,98.12976689338822,-0.06765357656404376,8.333173485845327,1.068814641982317
4395,8,201.0961924314525,-0.07246898427547421,9.74454094916582,1.0740360978990793
4890,9,109.80805275440377,-0.0665264781942824,9.013445601612329,1.0756722763180733
5875,10,222.36612651348412,-0.05815246760466834,6.491350707411766,1.07559499964118
7923,10,,-0.015866598251159304,3.2416947722434997,1.0514769617468118
8290,11,759.2320017575873,-0.01870452340808697,5.376650909334421,1.0498272724449635
8548,12,48.80810730457331,-0.020998732978478075,4.931843441352248,1.0480293810367585
8916,13,84.27324550151917,-0.01896031931973994,5.192482508718967,1.0404564846307038
9141,14,-4.387355351448242,-0.019977168568584603,3.801241026446223,1.038950602337718
10655,15,541.7564987659299,-0.0115608238207642,5.6878412522375585,1.0338375441730023
12703,15,,-0.009875980942160823,4.052952636405825,1.003093571215868
13309,16,1052.8593543290915,-0.007579323301615659,7.180313348025083,1.0017799107357859
13601,17,40.8025362730032,-0.008472130860900507,6.364875662326813,0.9918384606018662
14155,18,173.21967036724297,-0.00959611707367003,7.3716878816485405,0.9933562161400914
15339,19,203.96186931132286,0.0015341808131779544,10.112460309267044,0.9965676929801702
15456,20,-28.72680399417881,-0.005791596518247388,7.746412273496389,0.9915069611743093
15639,21,7.118921208381515,-0.00994723392650485,6.785698229819536,0.9916853925213218
15791,22,-17.14747855663304,-0.011934624388231896,7.49718730673194,0.99161262717098
16045,23,27.945175480842664,-0.013160617122775876,6.017247290164232,0.9933347947895527
16579,24,127.28534801006495,-0.012688157564844005,6.404456055909395,0.9922844277694821
17237,25,-22.86221511363788,-0.008153791804215871,10.016457363963127,1.0050457667559385
18102,26,290.2400748491246,-0.013089724179008045,7.890149743855,1.0057682894170283
18391,27,36.05573947429697,-0.016127350824535824,6.107248028367758,0.9975637819617986
19913,28,649.0013621091658,-0.008165861642919481,7.6360068082809445,0.982684601470828
20972,29,342.8696833372081,-0.008426075495663099,10.17005725800991,0.9932600125670433
21710,30,238.73917644023942,-0.01011389027989935,9.715973651409149,0.9978200739249588
23758,30,,-0.011464899018756114,5.348038814216852,0.9644110634922981
24254,31,930.4644263505547,-0.010307309773634189,9.06971343010664,0.9330069920048117
25013,32,289.84337074756525,-0.009407910231675486,9.399554252624512,0.932872779853642
25546,33,152.92755119800736,-0.007230071620142553,8.561820505559444,0.9331827973946929
27594,33,,-0.005907874672266189,4.2780951272696255,0.9588971752673388
29076,34,1563.5756882191524,-0.0054738715247367505,8.152908670902253,0.9455790938809514
30726,35,622.8025061845599,-0.006432591924385634,9.448427046835423,0.9379128294065595
32774,35,,-0.007643464800639777,2.852401802688837,0.8927639720961451
34588,36,1597.0779700518808,0.002858813843340613,8.510650674998761,0.8870742050930858
36636,36,,0.0009562288076267577,2.19808943644166,0.8825539799407125
38684,36,,-0.0024605928643723018,3.1399327237159014,0.8906705506145954
39556,37,2251.59758763335,-0.0023919476225273684,7.81229307204485,0.8596207268536091
40385,38,152.3146334409747,-0.00129819018766284,15.728256892412901,0.8762781389057637
42433,38,,-0.00456565132481046,4.669511702656746,0.8869844358414412
44481,38,,-0.0020553264337650036,2.519539937004447,0.8895378088578582
45386,39,2197.5222336294123,-0.002249596521141939,3.3432946160435675,0.8898513918742538
46519,40,481.8580435991171,-0.004153114560176618,9.087483015283942,0.859150943160057
48300,41,779.4907141923657,-0.002944883203599602,10.074144018441439,0.8839441111311317
48445,42,1.5731465578078243,-0.004309106185974088,8.676449965313077,0.8894548635929823
50493,42,,-0.0036149328167084604,4.872450778260827,0.9274029575288296
51132,43,1030.491208577125,0.0006154399467050098,10.11015208400786,0.9041500803083181
52268,44,499.14681160448845,-5.618424038402736e-05,8.599802005290986,0.90223647095263
54316,44,,0.001349843555362895,4.008250714838505,0.9190830456092953
54997,45,1163.54996712208,-0.0022671309794532134,8.20626676082611,0.8974914241582155
57045,45,,-0.004096120377653278,2.786737854406238,0.9205920245498419
59093,45,,-0.0014544337216648273,3.4613459751009943,0.9159344654530287
59998,46,2264.5229773761876,-0.00445884978689719,4.00583832450211,0.9071368061006069
62046,46,,-0.007413263399212155,4.439220547676086,0.9511395132169127
62174,47,853.0598276853224,-0.004325059379334561,9.98346141576767,0.9372742041945458
64222,47,,-0.004130770837946329,2.213467314094305,0.910285560041666
64365,48,963.7808600663797,-0.003439550759503618,9.19055643118918,0.8938710769638419
66413,48,,-0.00555637928773649,3.8876061789691447,0.9421902552247048
68001,49,1335.916068196338,-0.004374105166061781,11.046604908257724,0.9431949581950902
70049,49,,-0.0014752415474504233,3.2901411440223454,0.9354819981381297
72097,49,,-0.0023902381130028517,7.5637627024203535,0.9044932350516319
73002,50,2091.3122229816404,-0.0009355841437354683,3.315197830274701,0.9103503711521626
73175,51,31.63722603321081,-0.009156977954262402,7.300889460742473,0.9176227170974016
74268,52,407.42435710429237,-0.006379588176787365,8.463936591893434,0.9230441620573402
76316,52,,-0.00528205020527821,3.0823052491992713,0.9036473821848631
77317,53,1366.8752845049294,-0.006536530039738864,9.830348202213646,0.8777140930294991
77731,54,95.37974770069238,-0.006756766184116714,11.745724186301231,0.8691340552642941
78105,55,102.7495558977136,-0.009473872977832799,10.202933778986335,0.865182850137353
79877,56,762.7673468827959,-0.002098745835974114,9.254347403720022,0.8701736966148019
81715,57,759.5258433103332,-0.0011174422106705606,9.701798632740974,0.8809445029124617
82172,58,142.53043892383718,-0.0049177146400325,9.296468760818243,0.9087807055562734
82807,59,212.80233833790004,-0.007279970211675391,8.623130136728287,0.8781045220792294
83817,60,411.11349437236004,-0.0053780233298311945,9.07186475172639,0.8654127031564712
85865,60,,-0.0014949864009395242,3.1104844324290752,0.8783283151686192
87381,61,1622.2374671221644,-0.002296556286455598,9.9949781678617,0.8437011852860451
89429,61,,-0.0025432470632949845,3.7930023938417436,0.8388370495289564
89849,62,966.5274729013088,-0.0029506560531444848,11.25758094266057,0.837597749195993
90544,63,254.60183022022227,-0.0013444171898299828,11.743389457464218,0.8023642882704735
92592,63,,0.00046885453775757924,2.9032140292227266,0.7782159734517335
93049,64,1161.1203684568397,-0.0028090915671782567,10.448920451104641,0.7677021807059645
93488,65,139.80969841480396,-0.004545936790236738,10.991772352531552,0.8157988131046295
94516,66,415.15227000712656,-0.005754353900556453,9.919648636132479,0.8284517226740717
96564,66,,-0.0017971919281990268,1.9538776261731983,0.8020966274663806
98612,66,,-0.0035481075290590526,3.736957572028041,0.8539473928511143
99517,67,2412.2069983723113,-0.00731913314666599,3.7886564817279575,0.8538444867357612
101565,67,,-0.000840762876032386,1.3763414254412054,0.8563737874850631
103613,67,,-0.0013621861828141846,2.74477841258049,0.8089641412720084
104518,68,2312.0941965820666,-0.004242630666703917,4.011722265556455,0.8364976415410638
106197,69,696.2072852372895,-0.007041157441562973,11.39456684961915,0.8208477327600121
108245,69,,0.0029128315567504615,5.220918657630682,0.8055409699678421
110293,69,,-0.0030472048732917757,3.771502048894763,0.7682579757645727
111198,70,2191.187519335937,-0.0036451663007028403,3.892022729665041,0.7657240377739072
113246,70,,-0.00044486857223091647,2.71178988404572,0.7389707922935486
115294,70,,-0.01100246795831481,1.9088293695822358,0.6876226993277669
116199,71,2334.784513020732,-0.008527007373049855,3.5092493273317813,0.6898139694705605
118247,71,,-0.0009261247665563133,1.710282153263688,0.7220984997227788
119851,72,1728.277097249138,0.009695262568129692,9.012760584428907,0.6904361777007579
121899,72,,0.003399843955412507,4.181358437985182,0.7089053802192211
123442,73,1544.5844248534108,0.00016794918046798558,11.123108243197203,0.7185395596548915
125490,73,,-0.0005221401093876921,2.6966489404439926,0.7197972152382135
127538,73,,-0.0013170723774237557,2.01853508297354,0.6681947516277432
128443,74,2430.213093066443,-0.004242297493328806,2.6947290817275644,0.6557811448350549
130491,74,,-0.0010845904427696951,2.9169565331190825,0.7288189580664038
132539,74,,-0.00017753871507011353,1.562709085457027,0.6585092445835471
132828,75,2045.3140113116874,-0.002288807767035905,7.385233745723963,0.6617782024666667
133606,76,297.17955391406724,-0.01243863148993114,7.075741605088115,0.6876380952075124
134184,77,212.45348732471655,-0.017784769750142003,6.583019720762968,0.6792837886139751
136232,77,,-0.00023240006557898596,3.112049411982298,0.688549110852182
138280,77,,-0.0008299592154799029,3.647949956357479,0.6920333469286561
138704,78,2082.241409993356,-0.006783115414145868,9.465729512274265,0.6980894770473242
139903,79,522.0707495927683,-0.015592536525218748,5.635056594386697,0.722719051502645
141951,79,,-0.0008710505557246506,3.5454638741910456,0.7397130092605948
142543,80,1185.04533455372,-0.0037801345039042643,12.926262947916985,0.7742146028205752
142785,81,54.28470757007622,-0.009128796943696216,12.400352842360736,0.7879988586530089
143496,82,275.04387581348277,-0.008284508233191445,11.840875016152859,0.7875994704663754
145235,83,766.4485877275222,-0.011225948909122962,9.528651925176382,0.8083954552188516
147283,83,,-0.006155938823940233,3.060608322918415,0.8061991775408387
149331,83,,-0.0029865190241253003,2.21103398501873,0.7846668610349298
150236,84,2197.517056966034,-0.005865559171070345,2.9952612135559322,0.8039281643927098
150881,85,235.2296519041074,-0.00931395098741632,8.905036351829768,0.788891508989036
152929,85,,-0.0005285423103487119,1.7960071362555028,0.7864775927737355
153675,86,1296.432291340853,0.0031498568248935046,9.610516004636883,0.7571771867573261
155723,86,,-0.008895504257816355,2.2708959016948937,0.7407204516232013
157771,86,,-0.004143482371000573,2.4439612718299033,0.7566159693524241
158070,87,2004.6500098468623,-0.001263350367662497,11.415541208162903,0.7509635934606195
160118,87,,0.0054348599020158875,4.109058067575097,0.7118900116533041
160947,88,1267.8018992185812,-0.006140172737650574,10.211903827637434,0.7361427813768386
162586,89,708.2643073320171,-0.008798004101845436,9.842167132347821,0.7334947466850281
162875,90,47.96510035991689,-0.012979222694411874,9.977147563546897,0.7444740999490023
163854,91,400.03013463019647,-0.01183251018228475,8.947176320105791,0.7378424284979701
165902,91,,0.002851357311010361,5.648050172626972,0.7465147010982036
167950,91,,-0.0006231432445929386,3.9951871536672114,0.7905882311984896
168754,92,2231.2596506836085,0.0024143858841853215,9.96230291761458,0.783096525631845
170802,92,,0.0018491973882191815,3.4943739414215087,0.7586562007665634
172850,92,,-0.00030190901306923477,2.057027450017631,0.7664037104696035
173755,93,2301.5850501301124,0.0035736982645175885,3.785333725064993,0.774732973985374
174499,94,288.29706676006145,0.006106290094612632,11.019256820157171,0.7106764284893871
176547,94,,-0.002419100416591391,3.336508385464549,0.6639475220814347
178595,94,,-0.00033301049552392215,2.8495761163532736,0.6535559298470617
179500,95,2358.0672888996355,-0.0015062406833749264,3.302201407402754,0.652315947599709
181355,96,773.549225544903,-0.004706009158689994,6.22613504678011,0.6028645325452089
181538,97,32.14634888172162,-0.016685380856506525,5.193422674760223,0.6167950022965669
183024,98,630.2845438718609,-0.02100540401879698,6.606956234574318,0.6675924995914102
183713,99,263.6846476316445,-0.020092391948855946,7.501421711593866,0.6409897718578577
185761,99,,0.0034651618159841748,3.6470436554402115,0.5982904508709908
187809,99,,7.766610360704363e-06,2.592403839156032,0.5668397352099419
188714,100,2163.6809973956993,-0.0011694135726429522,3.380915234982967,0.5740214725956321
190459,101,716.1213385820162,0.0015732285843114368,9.69998362660408,0.5795883836224676
