timestep,mean_reward,policy_loss,value_loss,entropy
2048,228.05565481980204,-0.002400316737475805,213.1675217628479,1.0843424946069717
4096,24.55678851008291,-0.00582573974825209,135.5730838984251,1.0751684695482253
6144,457.4578325986745,-0.0030421673989621924,83.95510621666908,1.05412690769881
8192,,-0.00890833997473237,65.47389882802963,1.0264504017308353
10240,2103.727479052691,-0.004917247511912137,88.88924496173858,0.9926002323627472
12288,813.1646361112744,-0.00638350843655644,124.02901384830474,0.9837014989927411
14336,-190.3159024000159,-0.009750562519184314,77.49510494470596,0.973721856623888
16384,2758.1169287921903,0.001962139725947054,99.20680624246597,0.9288040153682232
18432,655.5056525468975,-0.00043736328952945767,103.42728997468949,0.9115049798041582
20480,,-0.0013558876482420601,63.6477937400341,0.9305666871368885
22528,,-0.004387465203762986,592.7136991977692,0.7996029648929834
24576,4309.695057177745,0.07998836678161751,303.8092955589294,0.6685867141932249
26624,2250.1248511554113,-0.00415663298626896,90.3272307395935,0.8764859350398183
28672,1244.6894302845678,-0.0037890844541834667,98.51056324839593,0.923794075474143
30720,883.5992554187696,-0.000697425813996233,99.68328428268433,0.9123340349644422
32768,,0.0025768490828340872,72.37477695345879,0.8935029447078705
34816,4701.563687825274,0.007382943123229779,2824.9851199150085,0.5194932072423398
36864,,-0.0014097815394052305,69.68247892856598,0.9825279574841261
38912,1656.3764712096006,-0.0008888108350220136,103.93791199922562,0.9781918991357088
40960,,-0.0016365550545742735,63.685226631164554,0.9676529275253415
43008,,0.16224517951486633,249.83106336593627,0.5042734010145068
45056,2399.4660049319477,0.07890591928735376,4132.0044126272205,0.8884472778066993
47104,1302.2017695188797,-0.0038209517118957593,102.1079804778099,0.904749746248126
49152,,-0.00010598178632790223,66.75784396529198,0.9161091251298785
51200,,0.03859502678678837,151.40731383562087,0.5530604617670178
53248,4380.143247151483,0.007503841354628093,2255.8694533109665,0.7101393550634384
55296,,0.0011463253365946002,41.436469063162804,0.9210275085642934
