timestep,episode,reward,value_loss
242,1,-74.08948752880107,0.022855988003875456
503,2,-23.813323140144327,8.992866036039688
722,3,-71.75948731899263,33.359048719275485
1076,4,110.43684871196851,62.670109605385086
1309,5,25.142296481132462,80.47448752775725
1550,6,18.316953539848328,60.364803104479776
1660,7,-21.688639187812843,41.357479619979856
1766,8,-21.85827839374546,43.63230001701499
1913,9,1.5549347639082924,49.945468931782
2081,10,-10.888902974128833,53.89624678662845
2201,11,-16.654069447517443,49.159306387106575
2428,12,31.878914141655073,47.83972507846513
2610,13,5.8928740262983865,41.11916580697992
2809,14,31.439463686943085,34.86925670968827
2920,15,-14.391364216804547,42.412672833279444
3030,16,-26.537653470039388,46.28287284157493
3196,17,7.831457018852127,45.97941923859608
3428,18,33.04849269390115,41.726295490717064
3692,19,44.79290301799793,45.37139670595978
4083,20,121.09908854961503,40.9361669663578
4221,21,-3.9951794862748002,41.63675875249116
4405,22,19.3570147275925,34.996098796958506
5450,23,387.05624339579816,41.8778482984698
7450,24,822.6585215329856,37.77694297838211
7928,25,136.27428691387337,32.012683321242555
9928,26,864.3484324216546,27.482550170779227
10113,27,19.29637286663049,29.765498290190827
10980,28,296.24704387187774,23.24002640690083
11619,29,41.23570675850158,27.643522318913156
13619,30,800.9219187497802,21.7110916954875
14075,31,61.42081630230024,16.672029516153167
15186,32,396.8305262327112,17.738833161220157
15630,33,19.86263699531669,16.832038665408486
15989,34,103.04370982647023,13.604574962246717
16586,35,185.52661159038766,14.564683831516822
17401,36,281.0176132678967,13.464569859855745
17787,37,68.34049904346544,11.876610729978493
18260,38,85.52757649421812,12.461281650918231
18593,39,85.22948079109264,11.44143788019816
18748,40,1.967774248123085,13.908777018516295
19158,41,99.61957249641506,15.466013485047876
19838,42,215.8934601306936,14.29841039075571
20575,43,260.5725265979766,12.609279089090458
21237,44,233.40234532356334,15.031657136459005
21377,45,-33.82491126060492,15.712067264318467
21486,46,-26.34794609546664,13.221274905248519
22426,47,230.76450810432436,14.007758029978326
22668,48,44.95044674873384,12.828989503797422
22815,49,-15.259111738205064,14.97383777219422
23197,50,72.08258213996982,11.276843975039677
23774,51,166.0785042285937,11.228498170859272
23877,52,-23.787748408317608,12.013634405089814
24414,53,102.81493141651265,11.174601679851667
24569,54,-22.921430850029083,11.779697645864179
24663,55,-35.2783500432968,9.636303191489361
25358,56,238.89815983772218,10.889419046751886
26601,57,450.77370064257246,11.634679572963945
27775,58,263.6329706430434,10.296034223125577
28411,59,194.05529701710006,14.412554945398426
29861,60,572.5996405839761,11.609242991414563
31199,61,491.0645789384721,10.299869069559513
32146,62,308.3480201005921,10.812791515932416
33408,63,480.37127449511206,9.138463605649875
33896,64,112.81804268360241,8.590087190881126
34057,65,-18.11317241191874,10.617797293278
35161,66,371.79329903125284,8.681806950681452
35771,67,160.69689247608417,8.847655807753078
35861,68,-36.859684729576095,9.41063519053989
37360,69,556.7217810869056,7.35495279414245
38832,70,506.45852425097075,6.589405581112141
39424,71,181.5395369768165,5.320516524484029
40288,72,321.45530159473145,6.190306885788838
40884,73,212.02029335498997,6.310688788558813
41288,74,115.91527016162979,7.037233292171271
43288,75,758.6092597245888,5.663873668313027
44011,76,251.2245520830162,6.189806785738485
44250,77,51.82774956226369,5.332127691063422
44500,78,-50.89408805370327,6.311788264870644
44577,79,-35.27615258693694,5.0074865771578505
